id,target
5,0.12542501
6,0.51057893
8,0.03008143
9,0.15258761
11,0.14638709
15,0.17288992
16,0.10044632
17,0.068763115
21,0.22024503
24,0.029699065
26,0.050127026
27,0.7829426
28,0.12982771
29,0.069381304
30,0.37862372
31,0.018678498
32,0.2895505
33,0.07624991
34,0.0150137255
35,0.8279785
38,0.015437707
42,0.21551147
44,0.008951016
45,0.15096243
48,0.1404688
50,0.11020904
53,0.09059958
54,0.059531253
57,0.03411755
59,0.029958801
62,0.09775875
63,0.10206788
64,0.0421775
65,0.07679634
66,0.103133105
70,0.69018304
71,0.083151296
76,0.21140334
78,0.08482635
79,0.138715
81,0.055540506
83,0.9583534
85,0.5732143
86,0.60834724
88,0.10993169
89,0.030293355
91,0.71133244
93,0.13090688
94,0.92128605
97,0.77015495
99,0.19862618
102,0.1274861
103,0.07195395
104,0.0103492
107,0.109951474
110,0.63619804
114,0.014087972
119,0.086017795
130,0.772607
131,0.15846467
132,0.7905185
133,0.03899809
136,0.19806382
139,0.17689073
143,0.0152079975
145,0.0075709294
146,0.051388063
147,0.029637525
148,0.09702339
149,0.011926047
153,0.03284977
157,0.04852522
160,0.042460162
165,0.18402965
167,0.034510534
170,0.042231686
176,0.28351176
179,0.15046526
180,0.025339948
181,0.042747457
185,0.38765
187,0.75118697
191,0.8934394
192,0.028234465
193,0.016875535
197,0.8028587
198,0.08548346
199,0.75015783
200,0.06261148
201,0.21139307
202,0.05715746
203,0.35722354
204,0.016736258
206,0.0355863
209,0.003769978
210,0.7790279
211,0.22607328
213,0.8122225
214,0.048133016
216,0.05499308
221,0.03676407
222,0.06016277
223,0.8616529
226,0.3504535
228,0.8949997
229,0.11019526
233,0.14742872
236,0.9736546
239,0.042072177
242,0.04881991
244,0.89183843
247,0.10975023
250,0.094211325
251,0.030472793
253,0.1567737
258,0.3430435
259,0.42313683
260,0.7857556
261,0.5194197
262,0.020352067
263,0.16248284
267,0.2292497
268,0.046023183
269,0.013997176
271,0.09878721
276,0.6296971
283,0.139637
286,0.013747821
291,0.093690075
292,0.11928413
293,0.09079706
294,0.034930997
295,0.032838486
298,0.028349044
300,0.520994
302,0.26923156
304,0.8221718
305,0.13684118
307,0.16361335
309,0.46342707
314,0.15537196
315,0.087613896
316,0.06858808
317,0.14284466
319,0.8104242
320,0.042617694
322,0.025713893
331,0.03686884
332,0.066965416
333,0.04859981
334,0.08753013
335,0.12966019
339,0.06910871
340,0.026794542
342,0.13748097
344,0.013129134
345,0.07143466
348,0.06419698
349,0.07817603
351,0.18660216
352,0.04069128
354,0.36640525
357,0.173302
358,0.029570814
360,0.118370414
362,0.20932673
365,0.13905613
366,0.059308074
367,0.050076205
369,0.0072532403
373,0.72719806
375,0.02196684
377,0.7310288
380,0.0118428655
384,0.058195632
388,0.052654456
391,0.11964798
397,0.059078824
403,0.1374817
404,0.20479865
405,0.028466288
408,0.14868604
409,0.019687114
410,0.15992363
411,0.71863616
412,0.027635138
414,0.1233997
420,0.31735644
422,0.16892742
425,0.11107294
428,0.033141498
429,0.060416058
431,0.9149146
437,0.016589079
438,0.08747765
441,0.22855946
445,0.10166357
447,0.078455746
448,0.34059986
